epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5136,1.64085,6.34359,0.03005,0.00329,0.73306,0.0456,0.01519,1.6943,10.5927,0.04344,0.000366515,0.000366515,0.000366515
2,94.6949,1.53222,5.20587,0.0274,0.58419,0.2813,0.20329,0.08409,1.68804,7.13065,0.04371,0.000722259,0.000722259,0.000722259
3,128.447,1.61763,4.24293,0.02905,0.37852,0.32437,0.22475,0.0837,1.87084,5.04989,0.04904,0.00106334,0.00106334,0.00106334
4,160.851,1.63791,3.55019,0.02973,0.63737,0.22897,0.267,0.13654,1.82761,3.98379,0.04746,0.00104501,0.00104501,0.00104501
5,194.19,1.62185,3.10088,0.02965,0.3754,0.42316,0.35262,0.16346,1.91649,3.12304,0.05165,0.00102301,0.00102301,0.00102301
6,227.839,1.61569,2.85879,0.02962,0.73826,0.38128,0.42501,0.22089,1.75738,2.73433,0.04452,0.00100101,0.00100101,0.00100101
7,260.618,1.64371,2.69151,0.03051,0.53945,0.42257,0.44317,0.22594,1.7709,2.6042,0.04602,0.000979013,0.000979013,0.000979013
8,294.117,1.65011,2.56409,0.02988,0.32875,0.49118,0.46194,0.24783,1.91305,2.33202,0.0499,0.000957015,0.000957015,0.000957015
9,326.59,1.65949,2.44741,0.03043,0.65782,0.37333,0.44357,0.23369,1.85094,2.5107,0.04774,0.000935018,0.000935018,0.000935018
10,359.753,1.65441,2.39346,0.0304,0.77423,0.38056,0.43553,0.1987,2.00969,2.50828,0.05711,0.00091302,0.00091302,0.00091302
11,392.346,1.61832,2.31942,0.02995,0.45654,0.51644,0.47134,0.24046,2.01682,2.16113,0.05411,0.000891022,0.000891022,0.000891022
12,425.846,1.60673,2.26906,0.02943,0.44466,0.52488,0.49233,0.21192,2.0457,2.16322,0.05462,0.000869024,0.000869024,0.000869024
13,458.116,1.64619,2.20751,0.0307,0.45268,0.5672,0.5181,0.2345,1.96511,2.01981,0.05207,0.000847026,0.000847026,0.000847026
14,491.375,1.57846,2.18316,0.02888,0.50364,0.56849,0.51521,0.25656,1.91751,2.01393,0.0506,0.000825029,0.000825029,0.000825029
15,523.65,1.58145,2.11067,0.02897,0.56721,0.53662,0.51933,0.25868,1.99925,2.10319,0.05223,0.000803031,0.000803031,0.000803031
16,556.732,1.58793,2.06392,0.02882,0.47636,0.55764,0.52106,0.27207,1.9255,2.05014,0.0495,0.000781033,0.000781033,0.000781033
17,588.681,1.58653,1.96915,0.02913,0.59509,0.55883,0.55177,0.27015,1.92547,1.96207,0.05079,0.000759035,0.000759035,0.000759035
18,621.358,1.55508,1.95764,0.02835,0.56099,0.56304,0.54913,0.28773,1.94401,1.93684,0.05022,0.000737037,0.000737037,0.000737037
19,653.941,1.58102,1.9273,0.02832,0.51706,0.59179,0.54471,0.2596,1.95954,1.86481,0.05216,0.00071504,0.00071504,0.00071504
20,686.866,1.55523,1.94699,0.02838,0.48476,0.55359,0.52295,0.25768,2.02106,2.01688,0.05277,0.000693042,0.000693042,0.000693042
21,719.002,1.54159,1.88234,0.02822,0.57361,0.59607,0.56278,0.24372,2.0079,1.79505,0.05379,0.000671044,0.000671044,0.000671044
22,752.754,1.55413,1.78011,0.02842,0.62816,0.58134,0.57184,0.29731,1.91072,1.74397,0.05021,0.000649046,0.000649046,0.000649046
23,785.211,1.55308,1.76091,0.02811,0.58943,0.54302,0.55522,0.27796,1.9655,1.88412,0.04965,0.000627048,0.000627048,0.000627048
24,818.473,1.52047,1.72629,0.02732,0.64924,0.5583,0.57518,0.27881,1.94335,1.79039,0.04995,0.000605051,0.000605051,0.000605051
25,851.048,1.51724,1.69011,0.02677,0.54016,0.59562,0.55843,0.30796,1.94931,1.79679,0.04861,0.000583053,0.000583053,0.000583053
26,884.139,1.50557,1.62444,0.02749,0.55536,0.59341,0.55327,0.3068,1.99851,1.72963,0.05213,0.000561055,0.000561055,0.000561055
27,916.176,1.51417,1.60535,0.02735,0.62564,0.56007,0.56527,0.29934,1.9683,1.88328,0.05011,0.000539057,0.000539057,0.000539057
28,948.956,1.49593,1.5952,0.02699,0.61812,0.61338,0.57904,0.30249,2.00464,1.73657,0.05079,0.000517059,0.000517059,0.000517059
29,981.432,1.45785,1.51757,0.02635,0.55199,0.62477,0.57263,0.29281,1.94536,1.77496,0.04962,0.000495062,0.000495062,0.000495062
30,1014.77,1.45947,1.58001,0.02575,0.6924,0.56662,0.56355,0.29618,1.8474,1.8711,0.04768,0.000473064,0.000473064,0.000473064
31,1046.83,1.4446,1.45842,0.02573,0.54378,0.59235,0.56162,0.2998,1.95537,1.67227,0.04989,0.000451066,0.000451066,0.000451066
32,1079.84,1.43628,1.42261,0.02592,0.58405,0.60512,0.56486,0.28758,1.96012,1.77731,0.0506,0.000429068,0.000429068,0.000429068
33,1112.15,1.40939,1.40387,0.02492,0.59569,0.58377,0.56259,0.30333,1.93304,1.79278,0.05005,0.00040707,0.00040707,0.00040707
34,1145.57,1.40692,1.36752,0.02514,0.59467,0.56243,0.55266,0.2958,1.99724,1.80306,0.05052,0.000385073,0.000385073,0.000385073
35,1177.06,1.38971,1.33548,0.02491,0.57393,0.60986,0.55723,0.30517,1.99061,1.75436,0.05069,0.000363075,0.000363075,0.000363075
36,1209.24,1.35444,1.28511,0.02406,0.63305,0.55264,0.57325,0.31911,1.91303,1.79188,0.04863,0.000341077,0.000341077,0.000341077
37,1241.39,1.38584,1.32568,0.02413,0.56974,0.61688,0.55762,0.29497,1.98755,1.86665,0.05076,0.000319079,0.000319079,0.000319079
38,1273.76,1.36734,1.29051,0.02405,0.59728,0.61354,0.57703,0.31714,1.96073,1.717,0.05093,0.000297081,0.000297081,0.000297081
39,1306.25,1.34151,1.28642,0.02366,0.58274,0.57562,0.56357,0.32227,1.99153,1.7541,0.05064,0.000275084,0.000275084,0.000275084
40,1338.19,1.33055,1.25498,0.02354,0.64116,0.5731,0.57093,0.3156,1.9258,1.85192,0.04863,0.000253086,0.000253086,0.000253086
41,1372.43,1.36119,1.01597,0.03267,0.61638,0.59433,0.58072,0.32054,1.95563,1.68852,0.05,0.000231088,0.000231088,0.000231088
42,1403.14,1.30699,0.92836,0.03109,0.62418,0.61245,0.58705,0.32196,1.95957,1.71603,0.05002,0.00020909,0.00020909,0.00020909
43,1434.76,1.27088,0.82872,0.03003,0.54313,0.63125,0.57555,0.31862,1.99664,1.7971,0.05079,0.000187092,0.000187092,0.000187092
44,1465.12,1.25226,0.82412,0.02955,0.57081,0.61361,0.58104,0.31219,2.03422,1.7914,0.052,0.000165095,0.000165095,0.000165095
45,1496.84,1.25885,0.77559,0.02934,0.63131,0.5995,0.59027,0.31654,2.01553,1.78792,0.0509,0.000143097,0.000143097,0.000143097
46,1528.79,1.24328,0.78286,0.02919,0.61535,0.62031,0.5869,0.32512,2.00563,1.79365,0.05075,0.000121099,0.000121099,0.000121099
47,1561.99,1.21679,0.74214,0.02828,0.61623,0.6221,0.58584,0.31561,2.00391,1.8312,0.05053,9.91012e-05,9.91012e-05,9.91012e-05
48,1594.98,1.21143,0.75396,0.02891,0.6022,0.61259,0.57803,0.31993,2.0231,1.82115,0.0512,7.71034e-05,7.71034e-05,7.71034e-05
49,1626.47,1.22726,0.72897,0.02919,0.59796,0.59155,0.57139,0.31449,2.03409,1.8581,0.05149,5.51056e-05,5.51056e-05,5.51056e-05
50,1658.39,1.20764,0.68344,0.02853,0.60056,0.61293,0.57563,0.31851,2.02635,1.83652,0.05113,3.31078e-05,3.31078e-05,3.31078e-05
